onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.6295094	1	1	Delay	NonPred	4	2	8	0.6295094	stim_3_A.png	stim_8_A.png
10.5	2.4072792	2	1	Delay	NonPred	4	1	7	0.4072792	stim_3_A.png	stim_11_A.png
15	2.5329364	3	1	Delay	NonPred	3	2	5	0.5329364	stim_4_A.png	stim_1_A.png
19.5	2.6404639	4	1	Delay	NonPred	4	1	8	0.6404639	stim_3_A.png	stim_8_A.png
24	2.4134662	5	1	Delay	NonPred	4	2	8	0.4134662	stim_3_A.png	stim_8_A.png
46.5	2.7679638	6	2	Delay	Pred	2	1	3	0.7679638	stim_12_A.png	stim_7_A.png
51	2.6368884	7	2	Delay	Pred	1	1	1	0.6368884	stim_10_A.png	stim_6_A.png
55.5	2.3039442	8	2	Delay	Pred	1	2	2	0.3039442	stim_10_A.png	stim_9_A.png
60	2.5816979	9	2	Delay	Pred	1	2	2	0.5816979	stim_10_A.png	stim_9_A.png
64.5	2.176724	10	2	Delay	Pred	1	1	1	0.176724	stim_10_A.png	stim_6_A.png
87	3.47606	11	3	Delay	NonPred	4	1	8	1.47606	stim_3_A.png	stim_8_A.png
91.5	2.4728423	12	3	Delay	NonPred	4	2	7	0.4728423	stim_3_A.png	stim_11_A.png
96	2.35687	13	3	Delay	NonPred	3	1	5	0.35687	stim_4_A.png	stim_1_A.png
100.5	2.04024157	14	3	Delay	NonPred	3	2	5	0.04024157	stim_4_A.png	stim_1_A.png
105	2.4377769	15	3	Delay	NonPred	3	2	6	0.4377769	stim_4_A.png	stim_5_A.png
127.5	3.008552	16	4	Delay	Pred	2	1	3	1.008552	stim_12_A.png	stim_7_A.png
132	2.6289265	17	4	Delay	Pred	1	1	1	0.6289265	stim_10_A.png	stim_6_A.png
136.5	2.4480223	18	4	Delay	Pred	2	2	4	0.4480223	stim_12_A.png	stim_2_A.png
141	2.4597625	19	4	Delay	Pred	1	2	2	0.4597625	stim_10_A.png	stim_9_A.png
145.5	2.3361402	20	4	Delay	Pred	2	2	4	0.3361402	stim_12_A.png	stim_2_A.png
168	2.4296589	21	5	Delay	NonPred	4	1	7	0.4296589	stim_3_A.png	stim_11_A.png
172.5	2.6412245	22	5	Delay	NonPred	3	2	6	0.6412245	stim_4_A.png	stim_5_A.png
177	2.4207198	23	5	Delay	NonPred	3	2	6	0.4207198	stim_4_A.png	stim_5_A.png
181.5	2.3042357	24	5	Delay	NonPred	3	1	5	0.3042357	stim_4_A.png	stim_1_A.png
186	2.293537	25	5	Delay	NonPred	4	1	7	0.293537	stim_3_A.png	stim_11_A.png
208.5	2.2482077	26	6	Delay	Pred	2	1	3	0.2482077	stim_12_A.png	stim_7_A.png
213	2.6523895	27	6	Delay	Pred	2	2	4	0.6523895	stim_12_A.png	stim_2_A.png
217.5	2.4971988	28	6	Delay	Pred	2	1	3	0.4971988	stim_12_A.png	stim_7_A.png
222	2.4846414	29	6	Delay	Pred	2	2	4	0.4846414	stim_12_A.png	stim_2_A.png
226.5	2.6734324	30	6	Delay	Pred	2	1	3	0.6734324	stim_12_A.png	stim_7_A.png
249	2.6378107	31	7	Delay	NonPred	3	2	5	0.6378107	stim_4_A.png	stim_1_A.png
253.5	2.4970849	32	7	Delay	NonPred	3	1	6	0.4970849	stim_4_A.png	stim_5_A.png
258	2.9970798	33	7	Delay	NonPred	4	2	8	0.9970798	stim_3_A.png	stim_8_A.png
262.5	2.7378933	34	7	Delay	NonPred	4	1	7	0.7378933	stim_3_A.png	stim_11_A.png
267	2.7165664	35	7	Delay	NonPred	3	1	6	0.7165664	stim_4_A.png	stim_5_A.png
289.5	2.8482933	36	8	Delay	Pred	1	1	2	0.8482933	stim_10_A.png	stim_9_A.png
294	2.8432456	37	8	Delay	Pred	1	2	2	0.8432456	stim_10_A.png	stim_9_A.png
298.5	2.5690343	38	8	Delay	Pred	2	1	3	0.5690343	stim_12_A.png	stim_7_A.png
303	2.525654	39	8	Delay	Pred	1	1	1	0.525654	stim_10_A.png	stim_6_A.png
307.5	2.4419537	40	8	Delay	Pred	1	2	2	0.4419537	stim_10_A.png	stim_9_A.png
