onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.734543	1	1	NoDelay	Pred	5	2	10	0.734543
10.5	2.2656589	2	1	NoDelay	Pred	6	1	11	0.2656589
15	2.2775997	3	1	NoDelay	Pred	5	2	10	0.2775997
19.5	2.2015639	4	1	NoDelay	Pred	6	1	11	0.2015639
24	2.342481	5	1	NoDelay	Pred	5	2	10	0.342481
46.5	2.363191	6	2	NoDelay	NonPred	8	1	15	0.363191
51	2.335116	7	2	NoDelay	NonPred	8	2	16	0.335116
55.5	2.3135911	8	2	NoDelay	NonPred	8	1	15	0.3135911
60	2.2537454	9	2	NoDelay	NonPred	7	2	13	0.2537454
64.5	2.450102	10	2	NoDelay	NonPred	8	1	16	0.450102
87	2.303971	11	3	NoDelay	Pred	5	2	9	0.303971
91.5	2.2275272	12	3	NoDelay	Pred	5	1	9	0.2275272
96	2.3192503	13	3	NoDelay	Pred	6	2	12	0.3192503
100.5	2.202459	14	3	NoDelay	Pred	6	1	11	0.202459
105	2.3432812	15	3	NoDelay	Pred	5	2	10	0.3432812
127.5	2.1626963	16	4	NoDelay	NonPred	8	2	15	0.1626963
132	2.3433356	17	4	NoDelay	NonPred	8	1	16	0.3433356
136.5	2.2282625	18	4	NoDelay	NonPred	8	2	16	0.2282625
141	2.1840322	19	4	NoDelay	NonPred	7	1	14	0.1840322
145.5	2.2113285	20	4	NoDelay	NonPred	7	2	14	0.2113285
168	2.2799545	21	5	NoDelay	Pred	6	1	11	0.2799545
172.5	2.1801921	22	5	NoDelay	Pred	6	2	12	0.1801921
177	2.3112278	23	5	NoDelay	Pred	5	1	9	0.3112278
181.5	2.1479332	24	5	NoDelay	Pred	6	2	12	0.1479332
186	2.3527042	25	5	NoDelay	Pred	6	1	11	0.3527042
208.5	2.5003996	26	6	NoDelay	NonPred	8	2	15	0.5003996
213	2.3999552	27	6	NoDelay	NonPred	7	1	13	0.3999552
217.5	2.1406164	28	6	NoDelay	NonPred	8	2	15	0.1406164
222	2.2567279	29	6	NoDelay	NonPred	7	1	14	0.2567279
226.5	2.2685457	30	6	NoDelay	NonPred	7	2	13	0.2685457
249	2.2726671	31	7	NoDelay	Pred	6	2	12	0.2726671
253.5	2.413206	32	7	NoDelay	Pred	6	1	11	0.413206
258	2.498385	33	7	NoDelay	Pred	5	2	10	0.498385
262.5	2.3258047	34	7	NoDelay	Pred	5	1	9	0.3258047
267	2.3529817	35	7	NoDelay	Pred	5	2	10	0.3529817
289.5	2.3491943	36	8	NoDelay	NonPred	7	1	14	0.3491943
294	2.09738603	37	8	NoDelay	NonPred	7	2	13	0.09738603
298.5	2.3099191	38	8	NoDelay	NonPred	7	1	14	0.3099191
303	2.3142275	39	8	NoDelay	NonPred	8	2	16	0.3142275
307.5	2.389737	40	8	NoDelay	NonPred	7	1	13	0.389737
