onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.3701224	1	1	NoDelay	Pred	5	1	9	0.3701224
10.5	2.4936076	2	1	NoDelay	Pred	6	2	12	0.4936076
15	2.00024512	3	1	NoDelay	Pred	6	1	11	0.00024512
19.5	2.00025296	4	1	NoDelay	Pred	6	2	12	0.00025296
24	2.4174197	5	1	NoDelay	Pred	5	2	10	0.4174197
46.5	2.3986135	6	2	NoDelay	NonPred	7	1	14	0.3986135
51	2.3703019	7	2	NoDelay	NonPred	7	2	14	0.3703019
55.5	2.3277196	8	2	NoDelay	NonPred	8	2	15	0.3277196
60	2.000245621	9	2	NoDelay	NonPred	7	1	14	0.000245621
64.5	2.4879427	10	2	NoDelay	NonPred	8	2	15	0.4879427
87	2.3003888	11	3	NoDelay	Pred	5	1	9	0.3003888
91.5	2.2718159	12	3	NoDelay	Pred	6	2	12	0.2718159
96	2.3871977	13	3	NoDelay	Pred	5	1	9	0.3871977
100.5	2.000215975	14	3	NoDelay	Pred	5	2	10	0.000215975
105	2.4032205	15	3	NoDelay	Pred	6	1	11	0.4032205
127.5	2.119664	16	4	NoDelay	NonPred	8	2	16	0.119664
132	2.000247657	17	4	NoDelay	NonPred	7	1	14	0.000247657
136.5	2.3994722	18	4	NoDelay	NonPred	7	2	13	0.3994722
141	2.000244869	19	4	NoDelay	NonPred	7	1	14	0.000244869
145.5	2.4079739	20	4	NoDelay	NonPred	8	2	16	0.4079739
168	2.3568576	21	5	NoDelay	Pred	5	2	9	0.3568576
172.5	2.456273	22	5	NoDelay	Pred	5	2	10	0.456273
177	2.3162828	23	5	NoDelay	Pred	5	1	9	0.3162828
181.5	2.7851925	24	5	NoDelay	Pred	6	2	12	0.7851925
186	2.620347	25	5	NoDelay	Pred	6	1	11	0.620347
208.5	2.09750847	26	6	NoDelay	NonPred	8	2	15	0.09750847
213	2.000257455	27	6	NoDelay	NonPred	8	1	15	0.000257455
217.5	2.3931758	28	6	NoDelay	NonPred	8	1	15	0.3931758
222	2.309279	29	6	NoDelay	NonPred	7	2	13	0.309279
226.5	2.2414377	30	6	NoDelay	NonPred	8	2	16	0.2414377
249	2.000371951	31	7	NoDelay	Pred	6	1	11	0.000371951
253.5	2.3449098	32	7	NoDelay	Pred	6	2	12	0.3449098
258	2.7104255	33	7	NoDelay	Pred	6	1	11	0.7104255
262.5	2.4906591	34	7	NoDelay	Pred	5	2	10	0.4906591
267	2.000259503	35	7	NoDelay	Pred	5	1	9	0.000259503
289.5	2.2186087	36	8	NoDelay	NonPred	7	2	13	0.2186087
294	2.6626861	37	8	NoDelay	NonPred	7	1	13	0.6626861
298.5	3.058781	38	8	NoDelay	NonPred	8	2	16	1.058781
303	2.8221366	39	8	NoDelay	NonPred	7	1	13	0.8221366
307.5	2.000244525	40	8	NoDelay	NonPred	8	2	15	0.000244525
