onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.576294	1	1	NoDelay	Pred	5	1	9	0.576294	stim_2_B.png	stim_6_B.png
10.5	2.3405581	2	1	NoDelay	Pred	6	2	12	0.3405581	stim_12_B.png	stim_5_B.png
15	2.3520232	3	1	NoDelay	Pred	6	1	11	0.3520232	stim_12_B.png	stim_9_B.png
19.5	2.9076856	4	1	NoDelay	Pred	5	2	10	0.9076856	stim_2_B.png	stim_1_B.png
24	2.3366116	5	1	NoDelay	Pred	6	1	11	0.3366116	stim_12_B.png	stim_9_B.png
46.5	2.3250256	6	2	NoDelay	NonPred	8	2	16	0.3250256	stim_7_B.png	stim_8_B.png
51	2.2960941	7	2	NoDelay	NonPred	7	2	13	0.2960941	stim_11_B.png	stim_10_B.png
55.5	2.3885684	8	2	NoDelay	NonPred	7	1	13	0.3885684	stim_11_B.png	stim_10_B.png
60	2.4490439	9	2	NoDelay	NonPred	8	1	15	0.4490439	stim_7_B.png	stim_4_B.png
64.5	2.165603	10	2	NoDelay	NonPred	7	2	13	0.165603	stim_11_B.png	stim_10_B.png
87	3.369376	11	3	NoDelay	Pred	6	2	12	1.369376	stim_12_B.png	stim_5_B.png
91.5	2.6458191	12	3	NoDelay	Pred	6	1	11	0.6458191	stim_12_B.png	stim_9_B.png
96	2.4012987	13	3	NoDelay	Pred	5	2	10	0.4012987	stim_2_B.png	stim_1_B.png
100.5	2.4536302	14	3	NoDelay	Pred	5	1	9	0.4536302	stim_2_B.png	stim_6_B.png
105	2.4013066	15	3	NoDelay	Pred	5	2	10	0.4013066	stim_2_B.png	stim_1_B.png
127.5	2.3178227	16	4	NoDelay	NonPred	8	2	16	0.3178227	stim_7_B.png	stim_8_B.png
132	2.4820009	17	4	NoDelay	NonPred	8	1	15	0.4820009	stim_7_B.png	stim_4_B.png
136.5	2.5	18	4	NoDelay	NonPred	7	0	0	n/a	stim_11_B.png	n/a
141	2.5	19	4	NoDelay	NonPred	7	0	0	n/a	stim_11_B.png	n/a
145.5	2.4379994	20	4	NoDelay	NonPred	7	2	13	0.4379994	stim_11_B.png	stim_10_B.png
168	2.435475	21	5	NoDelay	Pred	5	1	9	0.435475	stim_2_B.png	stim_6_B.png
172.5	2.3195254	22	5	NoDelay	Pred	5	2	10	0.3195254	stim_2_B.png	stim_1_B.png
177	2.3303321	23	5	NoDelay	Pred	6	1	11	0.3303321	stim_12_B.png	stim_9_B.png
181.5	2.8158422	24	5	NoDelay	Pred	6	2	11	0.8158422	stim_12_B.png	stim_9_B.png
186	2.3222014	25	5	NoDelay	Pred	6	2	12	0.3222014	stim_12_B.png	stim_5_B.png
208.5	2.40818	26	6	NoDelay	NonPred	8	1	15	0.40818	stim_7_B.png	stim_4_B.png
213	2.2518168	27	6	NoDelay	NonPred	8	2	16	0.2518168	stim_7_B.png	stim_8_B.png
217.5	2.695176	28	6	NoDelay	NonPred	7	1	14	0.695176	stim_11_B.png	stim_3_B.png
222	2.4827194	29	6	NoDelay	NonPred	8	2	16	0.4827194	stim_7_B.png	stim_8_B.png
226.5	2.3345446	30	6	NoDelay	NonPred	8	1	15	0.3345446	stim_7_B.png	stim_4_B.png
249	2.3480203	31	7	NoDelay	Pred	6	2	12	0.3480203	stim_12_B.png	stim_5_B.png
253.5	2.3680693	32	7	NoDelay	Pred	6	1	11	0.3680693	stim_12_B.png	stim_9_B.png
258	2.2669718	33	7	NoDelay	Pred	5	1	9	0.2669718	stim_2_B.png	stim_6_B.png
262.5	2.4957161	34	7	NoDelay	Pred	5	2	10	0.4957161	stim_2_B.png	stim_1_B.png
267	2.3875414	35	7	NoDelay	Pred	5	2	10	0.3875414	stim_2_B.png	stim_1_B.png
289.5	2.3209006	36	8	NoDelay	NonPred	7	1	14	0.3209006	stim_11_B.png	stim_3_B.png
294	2.2690201	37	8	NoDelay	NonPred	7	2	14	0.2690201	stim_11_B.png	stim_3_B.png
298.5	2.2968037	38	8	NoDelay	NonPred	7	1	14	0.2968037	stim_11_B.png	stim_3_B.png
303	2.000246492	39	8	NoDelay	NonPred	8	2	15	0.000246492	stim_7_B.png	stim_4_B.png
307.5	2.3851391	40	8	NoDelay	NonPred	8	1	16	0.3851391	stim_7_B.png	stim_8_B.png
