onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.693221	1	1	Delay	NonPred	4	2	7	0.693221	stim_11_B.png	stim_9_B.png
10.5	2.681719	2	1	Delay	NonPred	4	1	8	0.681719	stim_11_B.png	stim_1_B.png
15	2.4439187	3	1	Delay	NonPred	4	2	7	0.4439187	stim_11_B.png	stim_9_B.png
19.5	2.4648187	4	1	Delay	NonPred	4	1	7	0.4648187	stim_11_B.png	stim_9_B.png
24	2.001726455	5	1	Delay	NonPred	4	2	8	0.001726455	stim_11_B.png	stim_1_B.png
46.5	2.7518482	6	2	Delay	Pred	1	1	1	0.7518482	stim_6_B.png	stim_5_B.png
51	2.5489784	7	2	Delay	Pred	1	2	2	0.5489784	stim_6_B.png	stim_10_B.png
55.5	2.895839	8	2	Delay	Pred	1	2	2	0.895839	stim_6_B.png	stim_10_B.png
60	2.001736658	9	2	Delay	Pred	1	1	1	0.001736658	stim_6_B.png	stim_5_B.png
64.5	2.001732458	10	2	Delay	Pred	2	1	3	0.001732458	stim_2_B.png	stim_3_B.png
87	2.4208746	11	3	Delay	NonPred	3	2	6	0.4208746	stim_12_B.png	stim_7_B.png
91.5	2.599957	12	3	Delay	NonPred	3	2	5	0.599957	stim_12_B.png	stim_8_B.png
96	2.6617601	13	3	Delay	NonPred	4	2	8	0.6617601	stim_11_B.png	stim_1_B.png
100.5	2.6168247	14	3	Delay	NonPred	4	1	8	0.6168247	stim_11_B.png	stim_1_B.png
105	2.477268	15	3	Delay	NonPred	4	1	7	0.477268	stim_11_B.png	stim_9_B.png
127.5	2.6330044	16	4	Delay	Pred	1	1	1	0.6330044	stim_6_B.png	stim_5_B.png
132	3.253269	17	4	Delay	Pred	2	1	4	1.253269	stim_2_B.png	stim_4_B.png
136.5	2.8006797	18	4	Delay	Pred	1	2	2	0.8006797	stim_6_B.png	stim_10_B.png
141	2.08647743	19	4	Delay	Pred	2	1	3	0.08647743	stim_2_B.png	stim_3_B.png
145.5	2.4959103	20	4	Delay	Pred	2	2	4	0.4959103	stim_2_B.png	stim_4_B.png
168	3.188523	21	5	Delay	NonPred	3	1	6	1.188523	stim_12_B.png	stim_7_B.png
172.5	2.9761815	22	5	Delay	NonPred	3	2	6	0.9761815	stim_12_B.png	stim_7_B.png
177	2.6927998	23	5	Delay	NonPred	4	2	7	0.6927998	stim_11_B.png	stim_9_B.png
181.5	2.7614688	24	5	Delay	NonPred	3	1	6	0.7614688	stim_12_B.png	stim_7_B.png
186	2.9641724	25	5	Delay	NonPred	3	1	6	0.9641724	stim_12_B.png	stim_7_B.png
208.5	2.3855223	26	6	Delay	Pred	2	1	3	0.3855223	stim_2_B.png	stim_3_B.png
213	2.6936303	27	6	Delay	Pred	2	1	3	0.6936303	stim_2_B.png	stim_3_B.png
217.5	2.5	28	6	Delay	Pred	1	0	0	n/a	stim_6_B.png	n/a
222	2.4619515	29	6	Delay	Pred	2	1	3	0.4619515	stim_2_B.png	stim_3_B.png
226.5	2.745193	30	6	Delay	Pred	1	1	1	0.745193	stim_6_B.png	stim_5_B.png
249	2.5822572	31	7	Delay	NonPred	3	2	5	0.5822572	stim_12_B.png	stim_8_B.png
253.5	2.5	32	7	Delay	NonPred	3	0	0	n/a	stim_12_B.png	n/a
258	2.001890244	33	7	Delay	NonPred	3	2	6	0.001890244	stim_12_B.png	stim_7_B.png
262.5	2.5536494	34	7	Delay	NonPred	4	2	8	0.5536494	stim_11_B.png	stim_1_B.png
267	2.3733675	35	7	Delay	NonPred	3	2	6	0.3733675	stim_12_B.png	stim_7_B.png
289.5	2.6490717	36	8	Delay	Pred	2	1	3	0.6490717	stim_2_B.png	stim_3_B.png
294	2.9503823	37	8	Delay	Pred	1	1	1	0.9503823	stim_6_B.png	stim_5_B.png
298.5	2.5	38	8	Delay	Pred	1	0	0	n/a	stim_6_B.png	n/a
303	2.4604945	39	8	Delay	Pred	2	1	3	0.4604945	stim_2_B.png	stim_3_B.png
307.5	2.4185832	40	8	Delay	Pred	2	1	3	0.4185832	stim_2_B.png	stim_3_B.png
