onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.5628047	1	1	NoDelay	NonPred	8	2	15	0.5628047	stim_2_B.png	stim_6_B.png
10.5	2.1755732	2	1	NoDelay	NonPred	7	2	13	0.1755732	stim_1_B.png	stim_7_B.png
15	2.3402676	3	1	NoDelay	NonPred	7	1	14	0.3402676	stim_1_B.png	stim_11_B.png
19.5	2.0168452	4	1	NoDelay	NonPred	8	2	16	0.0168452	stim_2_B.png	stim_10_B.png
24	2.3483923	5	1	NoDelay	NonPred	7	2	14	0.3483923	stim_1_B.png	stim_11_B.png
46.5	2.5690218	6	2	NoDelay	Pred	5	1	9	0.5690218	stim_8_B.png	stim_12_B.png
51	2.460361	7	2	NoDelay	Pred	5	2	10	0.460361	stim_8_B.png	stim_3_B.png
55.5	2.2647168	8	2	NoDelay	Pred	6	2	12	0.2647168	stim_5_B.png	stim_4_B.png
60	2.4455575	9	2	NoDelay	Pred	5	2	10	0.4455575	stim_8_B.png	stim_3_B.png
64.5	2.4407522	10	2	NoDelay	Pred	6	1	11	0.4407522	stim_5_B.png	stim_9_B.png
87	2.3002443	11	3	NoDelay	NonPred	7	1	14	0.3002443	stim_1_B.png	stim_11_B.png
91.5	2.2898902	12	3	NoDelay	NonPred	8	2	15	0.2898902	stim_2_B.png	stim_6_B.png
96	2.02991809	13	3	NoDelay	NonPred	8	2	16	0.02991809	stim_2_B.png	stim_10_B.png
100.5	2.01707157	14	3	NoDelay	NonPred	7	1	13	0.01707157	stim_1_B.png	stim_7_B.png
105	2.293576	15	3	NoDelay	NonPred	8	2	16	0.293576	stim_2_B.png	stim_10_B.png
127.5	2.3048555	16	4	NoDelay	Pred	6	1	11	0.3048555	stim_5_B.png	stim_9_B.png
132	2.4296134	17	4	NoDelay	Pred	5	2	10	0.4296134	stim_8_B.png	stim_3_B.png
136.5	2.297545	18	4	NoDelay	Pred	5	1	9	0.297545	stim_8_B.png	stim_12_B.png
141	2.1657853	19	4	NoDelay	Pred	5	2	10	0.1657853	stim_8_B.png	stim_3_B.png
145.5	2.665194	20	4	NoDelay	Pred	5	1	9	0.665194	stim_8_B.png	stim_12_B.png
168	3.085844	21	5	NoDelay	NonPred	7	2	14	1.085844	stim_1_B.png	stim_11_B.png
172.5	2.1702895	22	5	NoDelay	NonPred	8	2	16	0.1702895	stim_2_B.png	stim_10_B.png
177	2.36494	23	5	NoDelay	NonPred	7	2	13	0.36494	stim_1_B.png	stim_7_B.png
181.5	2.000796466	24	5	NoDelay	NonPred	8	2	15	0.000796466	stim_2_B.png	stim_6_B.png
186	2.08508047	25	5	NoDelay	NonPred	8	1	16	0.08508047	stim_2_B.png	stim_10_B.png
208.5	2.4815224	26	6	NoDelay	Pred	6	1	11	0.4815224	stim_5_B.png	stim_9_B.png
213	2.6215611	27	6	NoDelay	Pred	5	1	9	0.6215611	stim_8_B.png	stim_12_B.png
217.5	2.5707675	28	6	NoDelay	Pred	6	2	12	0.5707675	stim_5_B.png	stim_4_B.png
222	2.5104525	29	6	NoDelay	Pred	6	2	11	0.5104525	stim_5_B.png	stim_9_B.png
226.5	2.1151192	30	6	NoDelay	Pred	6	2	12	0.1151192	stim_5_B.png	stim_4_B.png
249	2.3677733	31	7	NoDelay	NonPred	7	2	13	0.3677733	stim_1_B.png	stim_7_B.png
253.5	2.4268637	32	7	NoDelay	NonPred	8	2	15	0.4268637	stim_2_B.png	stim_6_B.png
258	2.2393784	33	7	NoDelay	NonPred	7	2	14	0.2393784	stim_1_B.png	stim_11_B.png
262.5	2.5315039	34	7	NoDelay	NonPred	7	1	13	0.5315039	stim_1_B.png	stim_7_B.png
267	2.3190782	35	7	NoDelay	NonPred	8	2	15	0.3190782	stim_2_B.png	stim_6_B.png
289.5	2.4034492	36	8	NoDelay	Pred	6	1	11	0.4034492	stim_5_B.png	stim_9_B.png
294	2.6634482	37	8	NoDelay	Pred	5	2	10	0.6634482	stim_8_B.png	stim_3_B.png
298.5	3.473804	38	8	NoDelay	Pred	5	1	9	1.473804	stim_8_B.png	stim_12_B.png
303	3.408364	39	8	NoDelay	Pred	6	2	12	1.408364	stim_5_B.png	stim_4_B.png
307.5	2.9401643	40	8	NoDelay	Pred	6	1	11	0.9401643	stim_5_B.png	stim_9_B.png
