onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	3.005195	1	1	NoDelay	Pred	6	2	12	1.005195
10.5	2.4405023	2	1	NoDelay	Pred	6	1	11	0.4405023
15	2.3648043	3	1	NoDelay	Pred	6	2	12	0.3648043
19.5	2.6810179	4	1	NoDelay	Pred	6	1	11	0.6810179
24	2.5643005	5	1	NoDelay	Pred	6	2	12	0.5643005
46.5	2.4407964	6	2	NoDelay	NonPred	8	2	15	0.4407964
51	2.5325069	7	2	NoDelay	NonPred	8	1	16	0.5325069
55.5	2.3371674	8	2	NoDelay	NonPred	7	2	13	0.3371674
60	2.3490211	9	2	NoDelay	NonPred	7	1	14	0.3490211
64.5	2.5859262	10	2	NoDelay	NonPred	7	2	13	0.5859262
87	2.8932006	11	3	NoDelay	Pred	6	2	12	0.8932006
91.5	2.3780574	12	3	NoDelay	Pred	5	1	9	0.3780574
96	2.4048319	13	3	NoDelay	Pred	6	2	12	0.4048319
100.5	2.6094214	14	3	NoDelay	Pred	5	1	9	0.6094214
105	2.5649914	15	3	NoDelay	Pred	5	2	10	0.5649914
127.5	2.6504867	16	4	NoDelay	NonPred	7	2	14	0.6504867
132	2.4150943	17	4	NoDelay	NonPred	8	1	15	0.4150943
136.5	2.5618801	18	4	NoDelay	NonPred	8	2	15	0.5618801
141	2.3910638	19	4	NoDelay	NonPred	7	1	14	0.3910638
145.5	2.3626568	20	4	NoDelay	NonPred	7	2	13	0.3626568
168	2.6544997	21	5	NoDelay	Pred	5	2	10	0.6544997
172.5	2.5952343	22	5	NoDelay	Pred	6	1	11	0.5952343
177	2.8789299	23	5	NoDelay	Pred	6	2	12	0.8789299
181.5	2.5553065	24	5	NoDelay	Pred	5	1	9	0.5553065
186	2.4551997	25	5	NoDelay	Pred	6	2	12	0.4551997
208.5	3.114785	26	6	NoDelay	NonPred	7	2	14	1.114785
213	2.4394911	27	6	NoDelay	NonPred	8	1	16	0.4394911
217.5	2.4102312	28	6	NoDelay	NonPred	8	2	16	0.4102312
222	2.6794388	29	6	NoDelay	NonPred	8	1	15	0.6794388
226.5	2.564609	30	6	NoDelay	NonPred	7	2	14	0.564609
249	2.3766324	31	7	NoDelay	Pred	5	1	10	0.3766324
253.5	2.5158189	32	7	NoDelay	Pred	5	2	10	0.5158189
258	2.519913	33	7	NoDelay	Pred	5	1	9	0.519913
262.5	2.4122883	34	7	NoDelay	Pred	5	2	10	0.4122883
267	2.4006196	35	7	NoDelay	Pred	5	1	9	0.4006196
289.5	2.4204874	36	8	NoDelay	NonPred	8	1	16	0.4204874
294	2.3532612	37	8	NoDelay	NonPred	7	2	13	0.3532612
298.5	2.765294	38	8	NoDelay	NonPred	8	1	16	0.765294
303	2.3685611	39	8	NoDelay	NonPred	8	2	15	0.3685611
307.5	2.4042591	40	8	NoDelay	NonPred	7	1	13	0.4042591
